ID,Song Name,Artist,Charter,Year,Genre,BPM,Difficulty,Download,Archive Link,Size
00001,Megalovania (Trombone Champ Remix),tobyfox ,NyxTheShield,2022,OST,220,10,00001.zip,00001. Megalovania - Toby Fox - NyxTheShield [NyxTheShield].zip,7369648
00002,DRAGONLADY,Nankumo,Ryuto Setsujin,2009,HAPPY,150,9,00002.zip,00002. DRAGONLADY - Nankumo [Ryuto Setsujin].zip,2045777
00003,First Toot,MooX,MooX,2022,Impro,90,4,00003.zip,00003. First Toot - None [MooX].zip,1377344
00004,never b mine,DeBisco,WORLDWIDEWOLF (Arne),2021,Eurodance,136,6,00004.zip,00004. Never B Mine - DeBisco [WORLDWIDEWOLF (Arne)].zip,7603588
00005,the little birdwatcher,tv room,WORLDWIDEWOLF (Arne),2021,Glitch Pop,144,4,00005.zip,"00005. Little Birdwatcher, The - tv room [WORLDWIDEWOLF (Arne)].zip",7573176
00006,With Apologies to Giovanni Battista Pamphili,Publio Delgado,Broargr Grabrograbr,2021,OST,115,8,00006.zip,00006. Sepulchre Theme - Brutal Orchestra - Publio Delgado [Broargr Grabrograbr].zip,3381489
00007,Power Down,Christopher Bill,ClassicTrombone,2022,Funk,240,5,00007.zip,00007. Power Down - Christopher Bill [ClassicTrombone].zip,13719419
00008,Tetris,Hirokazu Tanaka,Arganalth,1989,OST,140,6,00008.zip,00008. Tetris Theme - Hirokazu Tanaka [Arganalth].zip,1021474
00009,Giant Steps,John Coltrane,Nurbbles,2022,Jazz,288,10,00009.zip,00009. Giant Steps - John Coltrane [Nurbbles].zip,6854117
00010,Dragula,Rob Zombie,Kamoh,1998,Industrial Metal,125,4,00010.zip,00010. Dragula - Rob Zombie [Kamoh].zip,6970411
00011,Pink Dinosaur,PAPAYA,Freya,1999,Eurodance,136,6,00011.zip,00011. Pink Dinosaur - Papaya [Freya].zip,5605724
00012,Rainbow Tylenol,Kitsune^2,TDash,2009,YTPMV,135,19,00012.zip,00012. Rainbow Tylenol - Kitsune^2 [TDash].zip,3505941
00013,Rockefeller Street Nightcore,Getter Jaan,Apple,2011,Nightcore,162,7,00013.zip,00013. Rockefeller Street - Getter Jaani [Apple].zip,7010210
00014,Bonetrousle (Trombone Champ Remix),tobyfox,NyxTheShield,2022,OST,220,5,00014.zip,00014. Bonetrousle (TC Remix) - Toby Fox - NyxTheShield [NyxTheShield].zip,6289728
00015,The Oppressed - Final Fantasy VII,Nobuo Uematsu,Final Fantasy VII Enjoyer,1997,Soundtrack,67,3,00015.zip,"00015. Oppressed, The - Nobuo Uematsu [Final Fantasy VII Enjoyer].zip",1671473
00016,The Kill (Bury Me),30 Seconds to Mars,Mimic,2005,Rock,120,5,00016.zip,"00016. Kill, The - 30 Seconds To Mars [Mimic].zip",4603287
00017,Five Nights at Freddy's,The Living Tombstone,Mimic,2014,Fan Song,103,9,00017.zip,00017. Five Nights At Freddy's - The Living Tombstone [Mimic].zip,2800601
00018,Hilltop Chase (Gourmet Race 2),Jun Ishikawa,Floppo,1996,Gourmet,180,9,00018.zip,00018. Hilltop Chase - Jun Ishikawa [Floppo].zip,6384205
00019,Watch Dog,Al Terry,Kamoh,1960,Rockabilly,158,6,00019.zip,00019. Watch Dog - Al Terry [Kamoh].zip,2817167
00020,Universal Collapse,DM Dokuro,Skske,2022,VGM,100,7,00020.zip,00020. Universal Collapse - DM Dokuro [Skske].zip,6510523
00021,RuneScapeSeaShanty2,JAGEX,Blorkinator_,2004,OST,200,6,00021.zip,00021. Sea Shanty 2 - Ian Taylor [Blorkinator_].zip,4395676
00022,Night Boat To Cairo,Madness,Wulf,1979,Ska,157,7,00022.zip,00022. Night Boat To Cairo - Madness [Wulf].zip,4509492
00023,ナイト・オブ・ナイツ,BeatMARIO,Freya,2007,Touhou,180,10,00023.zip,00023. Night of Nights - BeatMARIO [Freya].zip,5467061
00024,mr majestic,Calibre & High Contrast,WORLDWIDEWOLF (Arne),2004,Drum & Bass,173,4,00024.zip,00024. Mr Majestic - Calibre & High Contrast [WORLDWIDEWOLF (Arne)].zip,6287024
